ask,fair,edge,mx,gap,rr,sw,pt,sl,hz,calls,acc,worst,nonempty,f1_calls,f1_acc,f2_calls,f2_acc,f3_calls,f3_acc,f4_calls,f4_acc,four_blocks
0.5,0.7,0.16,12,15,0,0,0.08,0.05,2,8,0.875,0.5,4,1,1.0,2,1.0,3,1.0,2,0.5,1
0.5,0.7,0.2,12,15,0,0,0.08,0.05,2,8,0.875,0.5,4,1,1.0,2,1.0,3,1.0,2,0.5,1
0.5,0.65,0.08,12,15,0,0,0.08,0.08,3,8,0.875,0.5,4,1,1.0,2,1.0,3,1.0,2,0.5,1
0.5,0.65,0.12,12,15,0,0,0.08,0.08,3,8,0.875,0.5,4,1,1.0,2,1.0,3,1.0,2,0.5,1
0.5,0.65,0.16,12,15,0,0,0.08,0.08,3,8,0.875,0.5,4,1,1.0,2,1.0,3,1.0,2,0.5,1
0.5,0.65,0.2,12,15,0,0,0.08,0.08,3,8,0.875,0.5,4,1,1.0,2,1.0,3,1.0,2,0.5,1
0.5,0.7,0.08,12,15,0,0,0.08,0.08,3,8,0.875,0.5,4,1,1.0,2,1.0,3,1.0,2,0.5,1
0.5,0.7,0.12,12,15,0,0,0.08,0.08,3,8,0.875,0.5,4,1,1.0,2,1.0,3,1.0,2,0.5,1
0.5,0.7,0.16,12,15,0,0,0.08,0.08,3,8,0.875,0.5,4,1,1.0,2,1.0,3,1.0,2,0.5,1
0.5,0.7,0.2,12,15,0,0,0.08,0.08,3,8,0.875,0.5,4,1,1.0,2,1.0,3,1.0,2,0.5,1
0.55,0.65,0.08,6,25,0,0,0.08,0.05,2,8,0.875,0.5,4,2,1.0,2,0.5,3,1.0,1,1.0,1
0.55,0.65,0.12,6,25,0,0,0.08,0.05,2,8,0.875,0.5,4,2,1.0,2,0.5,3,1.0,1,1.0,1
0.55,0.65,0.16,6,25,0,0,0.08,0.05,2,8,0.875,0.5,4,2,1.0,2,0.5,3,1.0,1,1.0,1
0.55,0.65,0.16,8,25,0,0,0.08,0.05,2,8,0.875,0.5,4,2,1.0,2,0.5,3,1.0,1,1.0,1
0.55,0.65,0.16,10,25,0,0,0.08,0.05,2,8,0.875,0.5,4,2,1.0,2,0.5,3,1.0,1,1.0,1
0.55,0.65,0.2,6,25,0,0,0.08,0.05,2,8,0.875,0.5,4,2,1.0,2,0.5,3,1.0,1,1.0,1
0.55,0.65,0.2,8,25,0,0,0.08,0.05,2,8,0.875,0.5,4,2,1.0,2,0.5,3,1.0,1,1.0,1
0.55,0.65,0.2,10,25,0,0,0.08,0.05,2,8,0.875,0.5,4,2,1.0,2,0.5,3,1.0,1,1.0,1
0.55,0.65,0.08,6,25,0,0,0.08,0.08,3,8,0.875,0.5,4,2,1.0,2,0.5,3,1.0,1,1.0,1
0.55,0.65,0.12,6,25,0,0,0.08,0.08,3,8,0.875,0.5,4,2,1.0,2,0.5,3,1.0,1,1.0,1
0.55,0.65,0.16,6,25,0,0,0.08,0.08,3,8,0.875,0.5,4,2,1.0,2,0.5,3,1.0,1,1.0,1
0.55,0.65,0.16,8,25,0,0,0.08,0.08,3,8,0.875,0.5,4,2,1.0,2,0.5,3,1.0,1,1.0,1
0.55,0.65,0.16,10,25,0,0,0.08,0.08,3,8,0.875,0.5,4,2,1.0,2,0.5,3,1.0,1,1.0,1
0.55,0.65,0.2,6,25,0,0,0.08,0.08,3,8,0.875,0.5,4,2,1.0,2,0.5,3,1.0,1,1.0,1
0.55,0.65,0.2,8,25,0,0,0.08,0.08,3,8,0.875,0.5,4,2,1.0,2,0.5,3,1.0,1,1.0,1
0.55,0.65,0.2,10,25,0,0,0.08,0.08,3,8,0.875,0.5,4,2,1.0,2,0.5,3,1.0,1,1.0,1
0.55,0.65,0.08,6,25,0,0,0.1,0.08,3,8,0.875,0.5,4,2,1.0,2,0.5,3,1.0,1,1.0,1
0.55,0.65,0.12,6,25,0,0,0.1,0.08,3,8,0.875,0.5,4,2,1.0,2,0.5,3,1.0,1,1.0,1
0.55,0.65,0.16,6,25,0,0,0.1,0.08,3,8,0.875,0.5,4,2,1.0,2,0.5,3,1.0,1,1.0,1
0.55,0.65,0.16,8,25,0,0,0.1,0.08,3,8,0.875,0.5,4,2,1.0,2,0.5,3,1.0,1,1.0,1
0.55,0.65,0.16,10,25,0,0,0.1,0.08,3,8,0.875,0.5,4,2,1.0,2,0.5,3,1.0,1,1.0,1
0.55,0.65,0.2,6,25,0,0,0.1,0.08,3,8,0.875,0.5,4,2,1.0,2,0.5,3,1.0,1,1.0,1
0.55,0.65,0.2,8,25,0,0,0.1,0.08,3,8,0.875,0.5,4,2,1.0,2,0.5,3,1.0,1,1.0,1
0.55,0.65,0.2,10,25,0,0,0.1,0.08,3,8,0.875,0.5,4,2,1.0,2,0.5,3,1.0,1,1.0,1
0.55,0.7,0.08,6,0,0,1,0.1,0.08,3,8,0.875,0.5,4,1,1.0,1,1.0,4,1.0,2,0.5,1
0.55,0.7,0.08,8,0,0,1,0.1,0.08,3,8,0.875,0.5,4,1,1.0,1,1.0,4,1.0,2,0.5,1
0.55,0.7,0.12,6,0,0,1,0.1,0.08,3,8,0.875,0.5,4,1,1.0,1,1.0,4,1.0,2,0.5,1
0.55,0.7,0.12,8,0,0,1,0.1,0.08,3,8,0.875,0.5,4,1,1.0,1,1.0,4,1.0,2,0.5,1
0.55,0.7,0.16,6,0,0,1,0.1,0.08,3,8,0.875,0.5,4,1,1.0,1,1.0,4,1.0,2,0.5,1
0.55,0.7,0.16,8,0,0,1,0.1,0.08,3,8,0.875,0.5,4,1,1.0,1,1.0,4,1.0,2,0.5,1
0.55,0.7,0.2,6,0,0,1,0.1,0.08,3,8,0.875,0.5,4,1,1.0,1,1.0,4,1.0,2,0.5,1
0.55,0.7,0.2,8,0,0,1,0.1,0.08,3,8,0.875,0.5,4,1,1.0,1,1.0,4,1.0,2,0.5,1
0.6,0.65,0.2,8,25,0,0,0.08,0.05,2,8,0.875,0.5,4,2,1.0,2,0.5,3,1.0,1,1.0,1
0.6,0.65,0.2,10,25,0,0,0.08,0.05,2,8,0.875,0.5,4,2,1.0,2,0.5,3,1.0,1,1.0,1
0.6,0.7,0.08,8,25,0,0,0.08,0.05,2,8,0.875,0.5,4,2,1.0,2,0.5,3,1.0,1,1.0,1
0.6,0.7,0.12,8,25,0,0,0.08,0.05,2,8,0.875,0.5,4,2,1.0,2,0.5,3,1.0,1,1.0,1
0.6,0.7,0.16,8,25,0,0,0.08,0.05,2,8,0.875,0.5,4,2,1.0,2,0.5,3,1.0,1,1.0,1
0.6,0.75,0.08,8,15,0,0,0.08,0.05,2,8,0.875,0.5,4,2,1.0,2,0.5,3,1.0,1,1.0,1
0.6,0.75,0.12,8,15,0,0,0.08,0.05,2,8,0.875,0.5,4,2,1.0,2,0.5,3,1.0,1,1.0,1
0.6,0.75,0.16,8,15,0,0,0.08,0.05,2,8,0.875,0.5,4,2,1.0,2,0.5,3,1.0,1,1.0,1
0.6,0.65,0.2,8,25,0,0,0.08,0.08,3,8,0.875,0.5,4,2,1.0,2,0.5,3,1.0,1,1.0,1
0.6,0.65,0.2,10,25,0,0,0.08,0.08,3,8,0.875,0.5,4,2,1.0,2,0.5,3,1.0,1,1.0,1
0.6,0.7,0.08,8,25,0,0,0.08,0.08,3,8,0.875,0.5,4,2,1.0,2,0.5,3,1.0,1,1.0,1
0.6,0.7,0.12,8,25,0,0,0.08,0.08,3,8,0.875,0.5,4,2,1.0,2,0.5,3,1.0,1,1.0,1
0.6,0.7,0.16,8,25,0,0,0.08,0.08,3,8,0.875,0.5,4,2,1.0,2,0.5,3,1.0,1,1.0,1
0.6,0.75,0.08,8,15,0,0,0.08,0.08,3,8,0.875,0.5,4,2,1.0,2,0.5,3,1.0,1,1.0,1
0.6,0.75,0.12,8,15,0,0,0.08,0.08,3,8,0.875,0.5,4,2,1.0,2,0.5,3,1.0,1,1.0,1
0.6,0.75,0.16,8,15,0,0,0.08,0.08,3,8,0.875,0.5,4,2,1.0,2,0.5,3,1.0,1,1.0,1
0.6,0.65,0.2,8,25,0,0,0.1,0.08,3,8,0.875,0.5,4,2,1.0,2,0.5,3,1.0,1,1.0,1
0.6,0.65,0.2,10,25,0,0,0.1,0.08,3,8,0.875,0.5,4,2,1.0,2,0.5,3,1.0,1,1.0,1
0.6,0.7,0.08,8,25,0,0,0.1,0.08,3,8,0.875,0.5,4,2,1.0,2,0.5,3,1.0,1,1.0,1
0.6,0.7,0.12,8,25,0,0,0.1,0.08,3,8,0.875,0.5,4,2,1.0,2,0.5,3,1.0,1,1.0,1
0.6,0.7,0.16,8,25,0,0,0.1,0.08,3,8,0.875,0.5,4,2,1.0,2,0.5,3,1.0,1,1.0,1
0.6,0.75,0.08,8,0,0,1,0.1,0.08,3,8,0.875,0.5,4,1,1.0,2,1.0,3,1.0,2,0.5,1
0.6,0.75,0.12,8,0,0,1,0.1,0.08,3,8,0.875,0.5,4,1,1.0,2,1.0,3,1.0,2,0.5,1
0.6,0.75,0.16,8,0,0,1,0.1,0.08,3,8,0.875,0.5,4,1,1.0,2,1.0,3,1.0,2,0.5,1
0.6,0.65,0.08,12,0,0,1,0.08,0.05,2,15,0.8666666666666667,0.5,4,3,1.0,4,1.0,4,1.0,4,0.5,1
0.6,0.65,0.12,12,0,0,1,0.08,0.05,2,15,0.8666666666666667,0.5,4,3,1.0,4,1.0,4,1.0,4,0.5,1
0.6,0.65,0.08,12,0,0,1,0.08,0.08,3,15,0.8666666666666667,0.5,4,3,1.0,4,1.0,4,1.0,4,0.5,1
0.6,0.65,0.12,12,0,0,1,0.08,0.08,3,15,0.8666666666666667,0.5,4,3,1.0,4,1.0,4,1.0,4,0.5,1
0.6,0.65,0.16,12,0,0,1,0.08,0.08,3,15,0.8666666666666667,0.5,4,3,1.0,4,1.0,4,1.0,4,0.5,1
0.6,0.65,0.2,12,0,0,1,0.08,0.08,3,14,0.8571428571428571,0.5,4,3,1.0,3,1.0,4,1.0,4,0.5,1
0.55,0.65,0.08,12,0,0,1,0.08,0.05,2,13,0.8461538461538461,0.5,4,2,1.0,3,1.0,4,1.0,4,0.5,1
0.55,0.65,0.12,12,0,0,1,0.08,0.05,2,13,0.8461538461538461,0.5,4,2,1.0,3,1.0,4,1.0,4,0.5,1
0.55,0.65,0.16,12,0,0,1,0.08,0.05,2,13,0.8461538461538461,0.5,4,2,1.0,3,1.0,4,1.0,4,0.5,1
0.55,0.65,0.2,12,0,0,1,0.08,0.05,2,13,0.8461538461538461,0.5,4,2,1.0,3,1.0,4,1.0,4,0.5,1
0.55,0.65,0.08,12,0,0,1,0.08,0.08,3,13,0.8461538461538461,0.5,4,2,1.0,3,1.0,4,1.0,4,0.5,1
0.55,0.65,0.12,12,0,0,1,0.08,0.08,3,13,0.8461538461538461,0.5,4,2,1.0,3,1.0,4,1.0,4,0.5,1
0.55,0.65,0.16,12,0,0,1,0.08,0.08,3,13,0.8461538461538461,0.5,4,2,1.0,3,1.0,4,1.0,4,0.5,1
0.55,0.65,0.2,12,0,0,1,0.08,0.08,3,13,0.8461538461538461,0.5,4,2,1.0,3,1.0,4,1.0,4,0.5,1
0.6,0.65,0.08,10,0,0,1,0.08,0.05,2,13,0.8461538461538461,0.5,4,2,1.0,3,1.0,4,1.0,4,0.5,1
0.6,0.65,0.12,10,0,0,1,0.08,0.05,2,13,0.8461538461538461,0.5,4,2,1.0,3,1.0,4,1.0,4,0.5,1
0.6,0.65,0.16,10,0,0,1,0.08,0.05,2,13,0.8461538461538461,0.5,4,2,1.0,3,1.0,4,1.0,4,0.5,1
0.6,0.65,0.08,10,0,0,1,0.08,0.08,3,13,0.8461538461538461,0.5,4,2,1.0,3,1.0,4,1.0,4,0.5,1
0.6,0.65,0.12,10,0,0,1,0.08,0.08,3,13,0.8461538461538461,0.5,4,2,1.0,3,1.0,4,1.0,4,0.5,1
0.6,0.65,0.16,10,0,0,1,0.08,0.08,3,13,0.8461538461538461,0.5,4,2,1.0,3,1.0,4,1.0,4,0.5,1
0.6,0.65,0.08,8,0,0,1,0.1,0.08,3,13,0.8461538461538461,0.5,4,2,1.0,3,1.0,4,1.0,4,0.5,1
0.6,0.65,0.12,12,15,0,1,0.1,0.08,3,13,0.8461538461538461,0.5,4,3,0.6666666666666666,4,1.0,4,1.0,2,0.5,1
0.6,0.65,0.2,8,0,0,0,0.08,0.05,2,12,0.8333333333333334,0.5,4,3,1.0,2,0.5,4,1.0,3,0.6666666666666666,1
0.6,0.65,0.2,10,0,0,1,0.08,0.05,2,12,0.8333333333333334,0.5,4,2,1.0,2,1.0,4,1.0,4,0.5,1
0.6,0.65,0.12,12,25,0,0,0.08,0.08,3,12,0.8333333333333334,0.5,4,3,1.0,4,0.75,3,1.0,2,0.5,1
0.6,0.65,0.16,12,25,0,0,0.08,0.08,3,12,0.8333333333333334,0.5,4,3,1.0,4,0.75,3,1.0,2,0.5,1
0.6,0.65,0.2,8,0,0,0,0.08,0.08,3,12,0.8333333333333334,0.5,4,3,1.0,2,0.5,4,1.0,3,0.6666666666666666,1
0.6,0.65,0.2,10,0,0,1,0.08,0.08,3,12,0.8333333333333334,0.5,4,2,1.0,2,1.0,4,1.0,4,0.5,1
0.6,0.7,0.08,12,25,0,0,0.08,0.08,3,12,0.8333333333333334,0.5,4,3,1.0,4,0.75,3,1.0,2,0.5,1
0.6,0.7,0.12,12,25,0,0,0.08,0.08,3,12,0.8333333333333334,0.5,4,3,1.0,4,0.75,3,1.0,2,0.5,1
0.6,0.7,0.16,12,25,0,0,0.08,0.08,3,12,0.8333333333333334,0.5,4,3,1.0,4,0.75,3,1.0,2,0.5,1
0.6,0.75,0.08,12,15,0,0,0.08,0.08,3,12,0.8333333333333334,0.5,4,3,1.0,4,0.75,3,1.0,2,0.5,1
0.6,0.75,0.12,12,15,0,0,0.08,0.08,3,12,0.8333333333333334,0.5,4,3,1.0,4,0.75,3,1.0,2,0.5,1
0.6,0.75,0.16,12,15,0,0,0.08,0.08,3,12,0.8333333333333334,0.5,4,3,1.0,4,0.75,3,1.0,2,0.5,1
0.6,0.65,0.12,8,15,0,0,0.1,0.08,3,12,0.8333333333333334,0.5,4,3,1.0,3,0.6666666666666666,4,1.0,2,0.5,1
0.6,0.65,0.12,10,15,0,0,0.1,0.08,3,12,0.8333333333333334,0.5,4,3,1.0,3,0.6666666666666666,4,1.0,2,0.5,1
0.6,0.65,0.12,12,25,0,0,0.1,0.08,3,12,0.8333333333333334,0.5,4,3,1.0,4,0.75,3,1.0,2,0.5,1
0.6,0.65,0.16,12,25,0,0,0.1,0.08,3,12,0.8333333333333334,0.5,4,3,1.0,4,0.75,3,1.0,2,0.5,1
0.6,0.7,0.08,8,0,0,0,0.1,0.08,3,12,0.8333333333333334,0.5,4,3,1.0,3,0.6666666666666666,4,1.0,2,0.5,1
0.6,0.7,0.08,12,25,0,0,0.1,0.08,3,12,0.8333333333333334,0.5,4,3,1.0,4,0.75,3,1.0,2,0.5,1
0.6,0.7,0.12,8,0,0,0,0.1,0.08,3,12,0.8333333333333334,0.5,4,3,1.0,3,0.6666666666666666,4,1.0,2,0.5,1
0.6,0.7,0.12,12,25,0,0,0.1,0.08,3,12,0.8333333333333334,0.5,4,3,1.0,4,0.75,3,1.0,2,0.5,1
0.6,0.7,0.16,12,25,0,0,0.1,0.08,3,12,0.8333333333333334,0.5,4,3,1.0,4,0.75,3,1.0,2,0.5,1
0.55,0.65,0.08,8,0,0,0,0.08,0.05,2,11,0.8181818181818182,0.5,4,2,1.0,2,0.5,4,1.0,3,0.6666666666666666,1
0.55,0.65,0.08,10,0,0,1,0.08,0.05,2,11,0.8181818181818182,0.5,4,1,1.0,2,1.0,4,1.0,4,0.5,1
0.55,0.65,0.08,12,25,0,0,0.08,0.05,2,11,0.8181818181818182,0.5,4,3,1.0,3,0.6666666666666666,3,1.0,2,0.5,1
0.55,0.65,0.12,8,0,0,0,0.08,0.05,2,11,0.8181818181818182,0.5,4,2,1.0,2,0.5,4,1.0,3,0.6666666666666666,1
0.55,0.65,0.12,10,0,0,1,0.08,0.05,2,11,0.8181818181818182,0.5,4,1,1.0,2,1.0,4,1.0,4,0.5,1
0.55,0.65,0.12,12,25,0,0,0.08,0.05,2,11,0.8181818181818182,0.5,4,3,1.0,3,0.6666666666666666,3,1.0,2,0.5,1
0.55,0.65,0.16,8,0,0,0,0.08,0.05,2,11,0.8181818181818182,0.5,4,2,1.0,2,0.5,4,1.0,3,0.6666666666666666,1
0.55,0.65,0.16,10,0,0,1,0.08,0.05,2,11,0.8181818181818182,0.5,4,1,1.0,2,1.0,4,1.0,4,0.5,1
0.55,0.65,0.16,12,25,0,0,0.08,0.05,2,11,0.8181818181818182,0.5,4,3,1.0,3,0.6666666666666666,3,1.0,2,0.5,1
0.55,0.65,0.2,8,0,0,0,0.08,0.05,2,11,0.8181818181818182,0.5,4,2,1.0,2,0.5,4,1.0,3,0.6666666666666666,1
0.55,0.65,0.2,10,0,0,1,0.08,0.05,2,11,0.8181818181818182,0.5,4,1,1.0,2,1.0,4,1.0,4,0.5,1
0.55,0.65,0.2,12,25,0,0,0.08,0.05,2,11,0.8181818181818182,0.5,4,3,1.0,3,0.6666666666666666,3,1.0,2,0.5,1
0.55,0.7,0.08,12,25,0,0,0.08,0.05,2,11,0.8181818181818182,0.5,4,3,1.0,3,0.6666666666666666,3,1.0,2,0.5,1
0.55,0.7,0.12,12,25,0,0,0.08,0.05,2,11,0.8181818181818182,0.5,4,3,1.0,3,0.6666666666666666,3,1.0,2,0.5,1
0.55,0.7,0.16,12,25,0,0,0.08,0.05,2,11,0.8181818181818182,0.5,4,3,1.0,3,0.6666666666666666,3,1.0,2,0.5,1
0.55,0.7,0.2,12,25,0,0,0.08,0.05,2,11,0.8181818181818182,0.5,4,3,1.0,3,0.6666666666666666,3,1.0,2,0.5,1
0.55,0.65,0.08,8,0,0,0,0.08,0.08,3,11,0.8181818181818182,0.5,4,2,1.0,2,0.5,4,1.0,3,0.6666666666666666,1
0.55,0.65,0.08,10,0,0,1,0.08,0.08,3,11,0.8181818181818182,0.5,4,1,1.0,2,1.0,4,1.0,4,0.5,1
0.55,0.65,0.08,12,25,0,0,0.08,0.08,3,11,0.8181818181818182,0.5,4,3,1.0,3,0.6666666666666666,3,1.0,2,0.5,1
0.55,0.65,0.12,8,0,0,0,0.08,0.08,3,11,0.8181818181818182,0.5,4,2,1.0,2,0.5,4,1.0,3,0.6666666666666666,1
0.55,0.65,0.12,10,0,0,1,0.08,0.08,3,11,0.8181818181818182,0.5,4,1,1.0,2,1.0,4,1.0,4,0.5,1
0.55,0.65,0.12,12,25,0,0,0.08,0.08,3,11,0.8181818181818182,0.5,4,3,1.0,3,0.6666666666666666,3,1.0,2,0.5,1
0.55,0.65,0.16,8,0,0,0,0.08,0.08,3,11,0.8181818181818182,0.5,4,2,1.0,2,0.5,4,1.0,3,0.6666666666666666,1
0.55,0.65,0.16,10,0,0,1,0.08,0.08,3,11,0.8181818181818182,0.5,4,1,1.0,2,1.0,4,1.0,4,0.5,1
0.55,0.65,0.16,12,25,0,0,0.08,0.08,3,11,0.8181818181818182,0.5,4,3,1.0,3,0.6666666666666666,3,1.0,2,0.5,1
0.55,0.65,0.2,8,0,0,0,0.08,0.08,3,11,0.8181818181818182,0.5,4,2,1.0,2,0.5,4,1.0,3,0.6666666666666666,1
0.55,0.65,0.2,10,0,0,1,0.08,0.08,3,11,0.8181818181818182,0.5,4,1,1.0,2,1.0,4,1.0,4,0.5,1
0.55,0.65,0.2,12,25,0,0,0.08,0.08,3,11,0.8181818181818182,0.5,4,3,1.0,3,0.6666666666666666,3,1.0,2,0.5,1
0.55,0.7,0.08,12,25,0,0,0.08,0.08,3,11,0.8181818181818182,0.5,4,3,1.0,3,0.6666666666666666,3,1.0,2,0.5,1
0.55,0.7,0.12,12,25,0,0,0.08,0.08,3,11,0.8181818181818182,0.5,4,3,1.0,3,0.6666666666666666,3,1.0,2,0.5,1
0.55,0.7,0.16,12,25,0,0,0.08,0.08,3,11,0.8181818181818182,0.5,4,3,1.0,3,0.6666666666666666,3,1.0,2,0.5,1
0.55,0.7,0.2,12,25,0,0,0.08,0.08,3,11,0.8181818181818182,0.5,4,3,1.0,3,0.6666666666666666,3,1.0,2,0.5,1
0.55,0.65,0.08,12,15,0,1,0.1,0.08,3,11,0.8181818181818182,0.5,4,2,0.5,3,1.0,4,1.0,2,0.5,1
0.55,0.65,0.08,12,25,0,0,0.1,0.08,3,11,0.8181818181818182,0.5,4,3,1.0,3,0.6666666666666666,3,1.0,2,0.5,1
0.55,0.65,0.12,12,15,0,1,0.1,0.08,3,11,0.8181818181818182,0.5,4,2,0.5,3,1.0,4,1.0,2,0.5,1
0.55,0.65,0.12,12,25,0,0,0.1,0.08,3,11,0.8181818181818182,0.5,4,3,1.0,3,0.6666666666666666,3,1.0,2,0.5,1
0.55,0.65,0.16,12,25,0,0,0.1,0.08,3,11,0.8181818181818182,0.5,4,3,1.0,3,0.6666666666666666,3,1.0,2,0.5,1
0.55,0.65,0.2,12,25,0,0,0.1,0.08,3,11,0.8181818181818182,0.5,4,3,1.0,3,0.6666666666666666,3,1.0,2,0.5,1
0.55,0.7,0.08,12,25,0,0,0.1,0.08,3,11,0.8181818181818182,0.5,4,3,1.0,3,0.6666666666666666,3,1.0,2,0.5,1
0.55,0.7,0.12,12,25,0,0,0.1,0.08,3,11,0.8181818181818182,0.5,4,3,1.0,3,0.6666666666666666,3,1.0,2,0.5,1
0.55,0.7,0.16,12,25,0,0,0.1,0.08,3,11,0.8181818181818182,0.5,4,3,1.0,3,0.6666666666666666,3,1.0,2,0.5,1
0.55,0.7,0.2,12,25,0,0,0.1,0.08,3,11,0.8181818181818182,0.5,4,3,1.0,3,0.6666666666666666,3,1.0,2,0.5,1
0.6,0.65,0.2,6,0,0,0,0.08,0.05,2,11,0.8181818181818182,0.5,4,3,1.0,2,0.5,4,0.75,2,1.0,1
0.6,0.7,0.16,6,0,0,0,0.08,0.05,2,11,0.8181818181818182,0.5,4,3,1.0,2,0.5,4,0.75,2,1.0,1
0.6,0.65,0.2,6,0,0,0,0.08,0.08,3,11,0.8181818181818182,0.5,4,3,1.0,2,0.5,4,0.75,2,1.0,1
0.6,0.65,0.2,12,25,0,0,0.08,0.08,3,11,0.8181818181818182,0.5,4,3,1.0,3,0.6666666666666666,3,1.0,2,0.5,1
0.6,0.7,0.16,6,0,0,0,0.08,0.08,3,11,0.8181818181818182,0.5,4,3,1.0,2,0.5,4,0.75,2,1.0,1
0.6,0.7,0.2,12,25,0,0,0.08,0.08,3,11,0.8181818181818182,0.5,4,3,1.0,3,0.6666666666666666,3,1.0,2,0.5,1
0.6,0.75,0.2,12,15,0,0,0.08,0.08,3,11,0.8181818181818182,0.5,4,3,1.0,3,0.6666666666666666,3,1.0,2,0.5,1
0.6,0.65,0.08,6,0,0,1,0.1,0.08,3,11,0.8181818181818182,0.5,4,2,1.0,3,1.0,4,0.75,2,0.5,1
0.6,0.65,0.12,6,0,0,1,0.1,0.08,3,11,0.8181818181818182,0.5,4,2,1.0,3,1.0,4,0.75,2,0.5,1
0.6,0.65,0.16,6,0,0,1,0.1,0.08,3,11,0.8181818181818182,0.5,4,2,1.0,3,1.0,4,0.75,2,0.5,1
0.6,0.65,0.2,12,25,0,0,0.1,0.08,3,11,0.8181818181818182,0.5,4,3,1.0,3,0.6666666666666666,3,1.0,2,0.5,1
0.6,0.7,0.08,6,0,0,1,0.1,0.08,3,11,0.8181818181818182,0.5,4,2,1.0,3,1.0,4,0.75,2,0.5,1
0.6,0.7,0.12,6,0,0,1,0.1,0.08,3,11,0.8181818181818182,0.5,4,2,1.0,3,1.0,4,0.75,2,0.5,1
0.6,0.7,0.16,8,0,0,0,0.1,0.08,3,11,0.8181818181818182,0.5,4,3,1.0,2,0.5,4,1.0,2,0.5,1
0.6,0.7,0.2,12,25,0,0,0.1,0.08,3,11,0.8181818181818182,0.5,4,3,1.0,3,0.6666666666666666,3,1.0,2,0.5,1
0.6,0.65,0.08,12,0,0,0,0.08,0.05,2,16,0.8125,0.5,4,4,1.0,4,0.75,4,1.0,4,0.5,1
0.6,0.65,0.12,12,0,0,0,0.08,0.05,2,16,0.8125,0.5,4,4,1.0,4,0.75,4,1.0,4,0.5,1
0.6,0.65,0.08,12,0,0,0,0.08,0.08,3,16,0.8125,0.5,4,4,1.0,4,0.75,4,1.0,4,0.5,1
0.6,0.65,0.12,12,0,0,0,0.08,0.08,3,16,0.8125,0.5,4,4,1.0,4,0.75,4,1.0,4,0.5,1
0.6,0.65,0.16,12,0,0,0,0.08,0.08,3,16,0.8125,0.5,4,4,1.0,4,0.75,4,1.0,4,0.5,1
0.6,0.7,0.08,12,0,0,0,0.08,0.08,3,16,0.8125,0.5,4,4,1.0,4,0.75,4,1.0,4,0.5,1
0.6,0.7,0.12,12,0,0,0,0.08,0.08,3,16,0.8125,0.5,4,4,1.0,4,0.75,4,1.0,4,0.5,1
0.6,0.7,0.16,12,0,0,0,0.08,0.08,3,16,0.8125,0.5,4,4,1.0,4,0.75,4,1.0,4,0.5,1
0.6,0.65,0.16,12,0,0,1,0.08,0.05,2,15,0.8,0.5,4,3,0.6666666666666666,4,1.0,4,1.0,4,0.5,1
0.6,0.65,0.2,12,0,0,0,0.08,0.08,3,15,0.8,0.5,4,4,1.0,3,0.6666666666666666,4,1.0,4,0.5,1
0.6,0.7,0.2,12,0,0,0,0.08,0.08,3,15,0.8,0.5,4,4,1.0,3,0.6666666666666666,4,1.0,4,0.5,1
0.5,0.65,0.08,12,0,0,0,0.08,0.05,2,10,0.8,0.5,4,1,1.0,2,1.0,3,1.0,4,0.5,1
0.5,0.65,0.08,12,0,0,1,0.08,0.05,2,10,0.8,0.5,4,1,1.0,2,1.0,3,1.0,4,0.5,1
0.5,0.65,0.12,12,0,0,0,0.08,0.05,2,10,0.8,0.5,4,1,1.0,2,1.0,3,1.0,4,0.5,1
0.5,0.65,0.12,12,0,0,1,0.08,0.05,2,10,0.8,0.5,4,1,1.0,2,1.0,3,1.0,4,0.5,1
0.5,0.65,0.16,12,0,0,0,0.08,0.05,2,10,0.8,0.5,4,1,1.0,2,1.0,3,1.0,4,0.5,1
0.5,0.65,0.16,12,0,0,1,0.08,0.05,2,10,0.8,0.5,4,1,1.0,2,1.0,3,1.0,4,0.5,1
0.5,0.65,0.2,12,0,0,0,0.08,0.05,2,10,0.8,0.5,4,1,1.0,2,1.0,3,1.0,4,0.5,1
0.5,0.65,0.2,12,0,0,1,0.08,0.05,2,10,0.8,0.5,4,1,1.0,2,1.0,3,1.0,4,0.5,1
0.5,0.65,0.08,12,0,0,0,0.08,0.08,3,10,0.8,0.5,4,1,1.0,2,1.0,3,1.0,4,0.5,1
0.5,0.65,0.08,12,0,0,1,0.08,0.08,3,10,0.8,0.5,4,1,1.0,2,1.0,3,1.0,4,0.5,1
0.5,0.65,0.12,12,0,0,0,0.08,0.08,3,10,0.8,0.5,4,1,1.0,2,1.0,3,1.0,4,0.5,1
0.5,0.65,0.12,12,0,0,1,0.08,0.08,3,10,0.8,0.5,4,1,1.0,2,1.0,3,1.0,4,0.5,1
0.5,0.65,0.16,12,0,0,0,0.08,0.08,3,10,0.8,0.5,4,1,1.0,2,1.0,3,1.0,4,0.5,1
0.5,0.65,0.16,12,0,0,1,0.08,0.08,3,10,0.8,0.5,4,1,1.0,2,1.0,3,1.0,4,0.5,1
0.5,0.65,0.2,12,0,0,0,0.08,0.08,3,10,0.8,0.5,4,1,1.0,2,1.0,3,1.0,4,0.5,1
0.5,0.65,0.2,12,0,0,1,0.08,0.08,3,10,0.8,0.5,4,1,1.0,2,1.0,3,1.0,4,0.5,1
